function,optimum,wo_base_final,wo_base_gap_to_optimum,wo_shap_final,wo_shap_gap_to_optimum,base_minus_shap,gap_reduction_shap_minus_base,better,event_count
F1,300.0,1057.845723068276,757.8457230682759,1057.845723068276,757.8457230682759,0.0,0.0,TIE,0
F2,400.0,481.03342394332583,81.03342394332583,481.03342394332583,81.03342394332583,0.0,0.0,TIE,0
F3,600.0,602.757365292767,2.7573652927669627,602.0021028226706,2.002102822670622,0.7552624700963406,0.7552624700963406,WO_SHAP,2
F4,800.0,832.8337427142989,32.833742714298864,832.833579547421,32.83357954742098,0.00016316687788275885,0.00016316687788275885,WO_SHAP,1
F5,900.0,911.8250327678469,11.825032767846892,910.7790649424107,10.779064942410741,1.0459678254361506,1.0459678254361506,WO_SHAP,2
F6,1800.0,2021.7376655869166,221.7376655869166,1947.2744348068297,147.27443480682973,74.46323078008686,74.46323078008686,WO_SHAP,2
F7,2000.0,2024.5130510136476,24.513051013647555,2057.2580016173765,57.25800161737652,-32.74495060372897,-32.74495060372897,WO_BASE,4
F8,2200.0,2223.5290270759956,23.5290270759956,2225.0556377836797,25.055637783679686,-1.5266107076840854,-1.5266107076840854,WO_BASE,2
F9,2300.0,2540.0994499421085,240.09944994210855,2540.0994499421085,240.09944994210855,0.0,0.0,TIE,0
F10,2400.0,2500.478085082031,100.47808508203116,2500.478085082031,100.47808508203116,0.0,0.0,TIE,0
F11,2600.0,2607.8667692846075,7.8667692846074715,2607.8667692846075,7.8667692846074715,0.0,0.0,TIE,0
F12,2700.0,2864.663989355479,164.66398935547886,2862.296817247596,162.2968172475962,2.367172107882652,2.367172107882652,WO_SHAP,3
