iteration,event_id,alpha,beta,danger_signal,safety_signal,diversity,diversity_norm,current_fitness,output_fitness,stagnation,stagnation_length,diagnosis,s_t,delta_fitness,threshold,stagnation_state,event_active,control_mode,action_taken,action_justification,alpha_scale,beta_scale,rescue_fraction,rescue_mode,rescued_agents,shap_requested,shap_reason,decision_shap_used,decision_dominant_feature,decision_harmful_feature,decision_harmful_value,decision_harmful_mass,decision_policy,dominant_feature,trace_role,effect_label,delta_fitness_post
0,0,1.0,0.9933071490757152,-0.8564893065953747,0.9867472153378646,174.64609947141872,0.9999999999994275,4721875.270718162,4721875.270718162,0,0,no_stagnation,0,inf,4.7218752707181615,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
1,0,0.998,0.9931728675778618,-1.632368002578181,0.8698557120089315,121.74672839484238,0.6971053391014715,26322.916746496103,26322.916746496103,0,0,no_stagnation,0,inf,0.026322916746496103,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
2,0,0.996,0.993035910822238,-1.3176502779817856,0.06317189225198372,121.74953494315648,0.6971214090184212,25469.213139879153,25469.213139879153,0,0,no_stagnation,0,inf,0.02546921313987915,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
3,0,0.994,0.9928962262756112,1.8723990909156893,0.7738609642776244,121.77419091838588,0.6972625858056728,25469.213139879153,25469.213139879153,0,1,no_stagnation,1,inf,0.02546921313987915,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
4,0,0.992,0.9927537604041685,-0.9281617277675741,0.13924933356879265,122.23515302801061,0.699901992646247,25469.213139879153,25469.213139879153,0,2,no_stagnation,2,inf,0.02546921313987915,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
5,0,0.99,0.992608458655718,0.9235013091602792,0.8678618227907717,121.23648255486002,0.6941837402708857,13014.065890595737,13014.065890595737,0,0,no_stagnation,0,inf,0.013014065890595736,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
6,0,0.988,0.9924602654416266,0.251989236498182,0.5104200359089622,117.4851781630052,0.6727042774989926,13014.065890595737,13014.065890595737,0,1,no_stagnation,1,inf,0.013014065890595736,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
7,0,0.986,0.9923091241184917,1.024519952477361,0.6365816372389018,119.39941153196992,0.6836649194758659,13014.065890595737,13014.065890595737,0,2,no_stagnation,2,inf,0.013014065890595736,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
8,0,0.984,0.9921549769695444,0.003197090496352274,0.3442045909797272,177.96381097830957,1.018996768418134,13014.065890595737,13014.065890595737,0,3,no_stagnation,3,inf,0.013014065890595736,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
9,0,0.982,0.9919977651857838,0.4245529741997748,0.5603004432554708,147.54620530870886,0.844829662701804,13014.065890595737,13014.065890595737,0,4,no_stagnation,4,inf,0.013014065890595736,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
10,0,0.98,0.9918374288468401,0.7585037714923082,0.6091624906715032,120.11254936337413,0.687748250472448,13014.065890595737,13014.065890595737,0,5,no_stagnation,5,inf,0.013014065890595736,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
11,0,0.978,0.9916739069015662,1.857603278876663,0.9360508381562557,118.30771976574039,0.6774140397280044,13014.065890595737,13014.065890595737,0,6,no_stagnation,6,inf,0.013014065890595736,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
12,0,0.976,0.9915071371483557,-0.2507994851752832,0.42589045569193906,155.84343562579073,0.8923384839247765,13014.065890595737,13014.065890595737,0,7,no_stagnation,7,inf,0.013014065890595736,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
13,0,0.974,0.9913370562151869,1.1453343047193612,0.9884131781620515,148.4711462565443,0.8501257497637786,13014.065890595737,13014.065890595737,0,8,no_stagnation,8,inf,0.013014065890595736,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
14,0,0.972,0.9911635995393923,-1.8367134106988898,0.9023638642666479,170.0001013353209,0.9733976415719752,13014.065890595737,13014.065890595737,0,9,no_stagnation,9,inf,0.013014065890595736,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
15,0,0.97,0.9909867013471522,0.23504435866158008,0.07081920102934469,196.67183127311495,1.126116368291341,13014.065890595737,13014.065890595737,0,10,no_stagnation,10,inf,0.013014065890595736,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
16,0,0.968,0.9908062946327119,-1.276875866283448,0.6670449890421898,151.0298565796817,0.8647765798188448,13014.065890595737,13014.065890595737,0,11,no_stagnation,11,inf,0.013014065890595736,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
17,0,0.966,0.9906223111373231,-0.13101145254796745,0.8808590783353354,150.11033563887764,0.8595115269857925,13014.065890595737,13014.065890595737,0,12,no_stagnation,12,inf,0.013014065890595736,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
18,0,0.964,0.9904346813279084,-0.39238523933462544,0.8721084403161941,125.8298458840411,0.7204847188961208,13014.065890595737,13014.065890595737,0,13,no_stagnation,13,inf,0.013014065890595736,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
19,0,0.962,0.9902433343754486,1.2563351875879243,0.6438893507718978,117.18824224547598,0.6710040625017625,13014.065890595737,13014.065890595737,0,14,no_stagnation,14,inf,0.013014065890595736,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
20,0,0.96,0.9900481981330956,-0.5390706215769581,0.7546130366272559,138.81957719695873,0.7948621676466209,13014.065890595737,13014.065890595737,0,15,no_stagnation,15,inf,0.013014065890595736,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
21,0,0.958,0.9898491991140073,0.7783573676053412,0.7731264609837393,112.53699399225391,0.6443716426120725,13014.065890595737,13014.065890595737,0,16,no_stagnation,16,inf,0.013014065890595736,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
22,0,0.956,0.9896462624689083,-1.6408942495591532,0.9567201899820804,111.38532777249847,0.6377773572358723,13014.065890595737,13014.065890595737,0,17,no_stagnation,17,inf,0.013014065890595736,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
23,0,0.954,0.9894393119633769,-0.6833949030749887,0.37783825896260015,110.5994785515491,0.633277690633942,13014.065890595737,13014.065890595737,0,18,no_stagnation,18,inf,0.013014065890595736,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
24,0,0.952,0.9892282699548584,-0.5057223150004355,0.614203196460026,82.67337243270731,0.47337657515901,13014.065890595737,13014.065890595737,0,19,no_stagnation,19,inf,0.013014065890595736,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
25,0,0.95,0.9890130573694068,0.0543659560905469,0.3901408647875968,109.14577077041587,0.6249539560327562,13014.065890595737,13014.065890595737,0,20,no_stagnation,20,inf,0.013014065890595736,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
26,0,0.948,0.9887935936781571,0.09248795289588634,0.8005641197194795,142.77567280829783,0.8175142373081266,13014.065890595737,13014.065890595737,0,21,no_stagnation,21,inf,0.013014065890595736,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
27,0,0.946,0.9885697968735293,1.254911567702995,0.7783677079237633,121.29675039135356,0.6945288257705099,13014.065890595737,13014.065890595737,0,22,no_stagnation,22,inf,0.013014065890595736,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
28,0,0.944,0.9883415834451669,-1.096366054622754,0.5124302325299019,120.5405417242294,0.6901988769802853,13014.065890595737,13014.065890595737,0,23,no_stagnation,23,inf,0.013014065890595736,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
29,0,0.942,0.988108868355613,-0.5795384986767745,0.3857346651512612,153.9661977023658,0.8815896728771467,13014.065890595737,13014.065890595737,0,24,no_stagnation,24,inf,0.013014065890595736,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
30,0,0.94,0.9878715650157258,0.6734695197052187,0.18140135041015715,95.8654793475012,0.5489127992986466,13014.065890595737,13014.065890595737,0,25,no_stagnation,25,inf,0.013014065890595736,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
31,0,0.938,0.9876295852598376,0.4264333252912818,0.0880445829553207,89.89996509949384,0.5147550696610589,13014.065890595737,13014.065890595737,0,26,no_stagnation,26,inf,0.013014065890595736,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
