function,function_name,n,mean,std,shapiro_w,shapiro_p,decision
F1,Shifted and full Rotated Zakharov Function,30,300.28071679542063,0.23023377709923518,0.7968012804539377,5.735736848307931e-05,RECHAZA_NORMALIDAD
F2,Shifted and Rotated Rosenbrock’s Function,30,428.5081667943088,30.86735231230748,0.6930858791954263,1.2395228923371091e-06,RECHAZA_NORMALIDAD
F3,Shifted and full Rotated Expanded Schaffer’s F7,30,600.0000028332202,5.095816230291915e-06,0.5811724863399846,4.333060549446071e-08,RECHAZA_NORMALIDAD
F4,Shifted and Rotated Non-Continuous Rastrigin’s Function,30,854.9224277772151,16.279381400889164,0.9627540581100914,0.3635501830579472,COMPATIBLE_NORMAL
F5,Shifted and Rotated Levy Function,30,900.123977884957,0.23252491932886576,0.5901162629881822,5.5403121058845674e-08,RECHAZA_NORMALIDAD
F6,Hybrid Function 1,30,46590.074430416935,19831.440869449834,0.9814815402763817,0.8634346576266265,COMPATIBLE_NORMAL
F7,Hybrid Function 2,30,2057.0766067925233,44.91388023297904,0.7044822066029635,1.8142052535542814e-06,RECHAZA_NORMALIDAD
F8,Hybrid Function 3,30,2400.8242739123116,320.3214312799253,0.5881566209262501,5.248331461300384e-08,RECHAZA_NORMALIDAD
F9,Composition Function 1,30,2637.5525732092015,115.23532882336454,0.44434177279793863,1.4495624997249638e-09,RECHAZA_NORMALIDAD
F10,Composition Function 2,30,2440.913243877338,285.37409674486395,0.8679672707537773,0.0015100169048273856,RECHAZA_NORMALIDAD
F11,Composition Function 3,30,2626.7806890844336,145.84073684960964,0.1800622523865426,7.82686718493644e-12,RECHAZA_NORMALIDAD
F12,Composition Function 4,30,2859.307154184949,7.6556184601498,0.8141729660794392,0.00012015726777298579,RECHAZA_NORMALIDAD
