function,function_id,function_name,function_family,runs,fitness_best,fitness_worst,fitness_mean,fitness_median,fitness_std,gap_best,gap_worst,gap_mean,gap_median,gap_std
F1,1,Shifted and full Rotated Zakharov Function,basic,30,300.0274436036035,301.16864078141356,300.28071679542063,300.2028105031949,0.23023377709922876,0.027443603603501288,1.1686407814135578,0.28071679542059846,0.20281050319488259,0.23023377709922876
F2,2,Shifted and Rotated Rosenbrock’s Function,basic,30,405.9002694215055,492.7827676093584,428.5081667943088,408.9739189814023,30.867352312307485,5.900269421505527,92.78276760935842,28.50816679430877,8.973918981402278,30.867352312307485
F3,3,Shifted and full Rotated Expanded Schaffer’s F7,basic,30,600.0000000064168,600.0000246541733,600.0000028332202,600.000001028531,5.095816230291915e-06,6.4168261815211736e-09,2.4654173330418416e-05,2.8332201509329025e-06,1.0285309599566972e-06,5.095816230291915e-06
F4,4,Shifted and Rotated Non-Continuous Rastrigin’s Function,basic,30,826.0000000000583,892.8552594161307,854.9224277772151,853.0580181383419,16.279381400889164,26.00000000005832,92.8552594161307,54.92242777721512,53.058018138341936,16.279381400889164
F5,5,Shifted and Rotated Levy Function,basic,30,900.000014715341,900.9959373391529,900.123977884957,900.0012122499394,0.23252491932888045,1.4715340967086377e-05,0.9959373391528743,0.12397788495674907,0.0012122499393854014,0.23252491932888047
F6,6,Hybrid Function 1,hybrid,30,8772.823427126401,91130.41870556772,46590.074430416935,48290.86345046583,19831.440869449834,6972.823427126401,89330.41870556772,44790.074430416935,46490.86345046583,19831.440869449834
F7,7,Hybrid Function 2,hybrid,30,2020.8711190859622,2246.262812883032,2057.0766067925233,2043.4216324981335,44.91388023297902,20.871119085962164,246.26281288303198,57.07660679252335,43.42163249813336,44.91388023297902
F8,8,Hybrid Function 3,hybrid,30,2222.4614282030684,3390.5899129650784,2400.8242739123116,2261.3823006602975,320.3214312799253,22.461428203068408,1190.5899129650784,200.82427391231153,61.38230066029746,320.3214312799253
F9,9,Composition Function 1,composition,30,2300.2152719404844,2742.6982163693106,2637.5525732092015,2669.955061071896,115.23532882336453,0.21527194048439924,442.69821636931056,337.5525732092016,369.9550610718959,115.23532882336451
F10,10,Composition Function 2,composition,30,1929.7338905739034,2832.8684904058055,2440.913243877338,2559.552946308367,285.374096744864,-470.2661094260966,432.86849040580546,40.9132438773382,159.55294630836715,285.37409674486406
F11,11,Composition Function 3,composition,30,2600.020689778403,3398.9564117632194,2626.7806890844336,2600.1511356693236,145.84073684960964,0.0206897784028115,798.9564117632194,26.780689084433487,0.15113566932382128,145.84073684960964
F12,12,Composition Function 4,composition,30,2847.823826064236,2889.6979542292447,2859.307154184949,2859.6129599591854,7.655618460149822,147.82382606423607,189.69795422924471,159.30715418494887,159.61295995918545,7.655618460149823
