iteration,best_fitness
0,294.0
1,294.0
2,294.0
3,294.0
4,294.0
5,294.0
6,294.0
7,294.0
8,294.0
9,294.0
10,294.0
11,294.0
12,294.0
13,294.0
14,294.0
15,294.0
16,294.0
17,294.0
18,294.0
19,294.0
20,294.0
21,294.0
22,294.0
23,294.0
24,294.0
25,294.0
26,294.0
27,294.0
28,294.0
29,294.0
30,294.0
31,294.0
32,294.0
33,294.0
34,294.0
35,294.0
36,294.0
37,294.0
38,294.0
39,294.0
40,294.0
41,294.0
42,294.0
43,294.0
44,294.0
45,294.0
46,294.0
47,294.0
48,294.0
49,294.0
50,294.0
51,294.0
52,294.0
53,294.0
54,294.0
55,294.0
56,294.0
57,294.0
58,294.0
59,294.0
60,294.0
61,294.0
62,294.0
63,294.0
64,294.0
65,294.0
66,294.0
67,294.0
68,294.0
69,294.0
70,294.0
71,294.0
72,294.0
73,294.0
74,294.0
75,294.0
76,294.0
77,294.0
78,294.0
79,294.0
80,294.0
81,294.0
82,294.0
83,294.0
84,294.0
85,294.0
86,294.0
87,294.0
88,294.0
89,294.0
90,294.0
91,294.0
92,294.0
93,294.0
94,294.0
95,294.0
96,294.0
97,294.0
98,294.0
99,294.0
100,294.0
101,294.0
102,294.0
103,294.0
104,294.0
105,294.0
106,294.0
107,294.0
108,294.0
109,294.0
110,294.0
111,294.0
112,294.0
113,294.0
114,294.0
115,294.0
116,294.0
117,294.0
118,294.0
119,294.0
120,294.0
121,294.0
122,294.0
123,294.0
124,294.0
125,294.0
126,294.0
127,294.0
128,294.0
129,294.0
130,294.0
131,294.0
132,294.0
133,294.0
134,294.0
135,294.0
136,294.0
137,294.0
138,294.0
139,294.0
140,294.0
141,294.0
142,294.0
143,294.0
144,294.0
145,294.0
146,294.0
147,294.0
148,294.0
149,294.0
150,294.0
151,294.0
152,294.0
153,294.0
154,294.0
155,294.0
156,294.0
157,294.0
158,294.0
159,294.0
160,294.0
161,294.0
162,294.0
163,294.0
164,294.0
165,294.0
166,294.0
167,294.0
168,294.0
169,294.0
170,294.0
171,294.0
172,294.0
173,294.0
174,294.0
175,294.0
176,294.0
177,294.0
178,294.0
179,294.0
180,294.0
181,294.0
182,294.0
183,294.0
184,294.0
185,294.0
186,294.0
187,294.0
188,294.0
189,294.0
190,294.0
191,294.0
192,294.0
193,282.0
194,282.0
195,282.0
196,282.0
197,282.0
198,282.0
199,282.0
200,282.0
201,282.0
202,282.0
203,282.0
204,282.0
205,282.0
206,282.0
207,282.0
208,282.0
209,282.0
210,282.0
211,282.0
212,282.0
213,282.0
214,282.0
215,282.0
216,282.0
217,282.0
218,282.0
219,282.0
220,282.0
221,282.0
222,282.0
223,282.0
224,282.0
225,282.0
226,282.0
227,282.0
228,282.0
229,280.0
230,280.0
231,280.0
232,280.0
233,280.0
234,280.0
235,280.0
236,280.0
237,280.0
238,280.0
239,280.0
240,280.0
241,280.0
242,280.0
243,280.0
244,280.0
245,280.0
246,280.0
247,280.0
248,279.0
249,279.0
250,278.0
251,278.0
252,278.0
253,278.0
254,278.0
255,278.0
256,277.0
257,277.0
258,277.0
259,277.0
260,277.0
261,277.0
262,277.0
263,277.0
264,277.0
265,277.0
266,277.0
267,277.0
268,277.0
269,277.0
270,277.0
271,277.0
272,277.0
273,277.0
274,277.0
275,277.0
276,277.0
277,277.0
278,277.0
279,277.0
280,277.0
281,277.0
282,277.0
283,277.0
284,277.0
285,277.0
286,277.0
287,277.0
288,274.0
289,274.0
290,274.0
291,274.0
292,274.0
293,274.0
294,274.0
295,274.0
296,274.0
297,274.0
298,274.0
299,274.0
