run_id,seed,iteration,profile,target,method,n_coalitions,expected_value,predicted_value,dominant_feature,dominant_label,dominant_value,action,mode,fraction,feature_alpha,feature_beta,feature_danger_signal,feature_safety_signal,feature_diversity,feature_iteration,shap_alpha,shap_beta,shap_danger_signal,shap_safety_signal,shap_diversity,shap_iteration
1,1234,40,soft,stagnation_risk,exact_shapley_wo_simulation,64,298.0,298.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.8666666666666667,0.975075573352886,0.14409269527835156,0.5961464979008286,0.0024048658878808417,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
1,1234,76,soft,stagnation_risk,exact_shapley_wo_simulation,64,298.0,298.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.7466666666666666,0.921771740548216,0.5892218960415814,0.3549599981935476,0.24554529798290312,0.25333333333333335,0.0,0.0,0.0,0.0,0.0,0.0
1,1234,112,soft,stagnation_risk,exact_shapley_wo_simulation,64,297.0,295.0,danger_signal,Senal de peligro,-1.5,random_reinjection,random,0.3,0.6266666666666667,0.7801716022593175,0.2961222031747104,0.07353992142436239,0.255507471635523,0.37333333333333335,0.0,0.0,-1.5,0.0,0.0,-0.5
1,1234,148,soft,stagnation_risk,exact_shapley_wo_simulation,64,298.0,298.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random,0.3,0.5066666666666666,0.5166604965694115,0.4276281896246855,0.08654756906274164,0.2580101052318209,0.49333333333333335,0.0,0.0,0.0,0.0,0.0,0.0
1,1234,216,soft,stagnation_risk,exact_shapley_wo_simulation,64,298.0,298.0,safety_signal,Senal de seguridad,0.3333333333333333,random_reinjection,random_aggressive,0.3,0.28,0.0997504891196852,0.40290171708144695,0.11622893265663103,0.23718457804781992,0.72,-0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
1,1234,252,soft,stagnation_risk,exact_shapley_wo_simulation,64,280.0,279.0,beta,Coef. sigmoide (beta),0.16666666666666666,random_reinjection,random_aggressive,0.3,0.16000000000000003,0.03229546469845046,0.4624530295059163,0.9740851194096581,0.0410077836052534,0.84,0.0,0.16666666666666666,0.0,-0.33333333333333326,0.16666666666666666,-1.0000000000000004
2,1235,40,soft,stagnation_risk,exact_shapley_wo_simulation,64,298.0,298.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.8666666666666667,0.975075573352886,0.35068842059920957,0.48211368886863626,0.23510196640434605,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
2,1235,76,soft,stagnation_risk,exact_shapley_wo_simulation,64,298.0,298.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.7466666666666666,0.921771740548216,0.420632798733048,0.024597577939299287,0.1926853995444345,0.25333333333333335,0.0,0.0,0.0,0.0,0.0,0.0
2,1235,130,soft,stagnation_risk,exact_shapley_wo_simulation,64,297.0,298.0,safety_signal,Senal de seguridad,3.500000000000001,random_reinjection,random_aggressive,0.3,0.5666666666666667,0.6607563687658171,0.6160390698906493,0.5429148339813287,0.2364699740901172,0.43333333333333335,0.0,0.0,0.0,3.500000000000001,0.0,-2.5
2,1235,166,soft,stagnation_risk,exact_shapley_wo_simulation,64,281.0,280.0,iteration,Iteracion normalizada,-0.6666666666666669,random_reinjection,random_aggressive,0.3,0.44666666666666666,0.3697397770822487,0.6179299129636976,0.8998579930997166,0.22583687451681947,0.5533333333333333,-0.16666666666666666,0.0,0.0,-0.16666666666666666,0.0,-0.6666666666666669
2,1235,202,soft,stagnation_risk,exact_shapley_wo_simulation,64,298.0,298.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.32666666666666666,0.15016170628984726,0.4478142942061059,0.11313724039247186,0.12178803273466543,0.6733333333333333,0.0,0.0,0.0,0.0,0.0,0.0
2,1235,238,soft,stagnation_risk,exact_shapley_wo_simulation,64,297.0,298.0,beta,Coef. sigmoide (beta),0.49999999999999994,random_reinjection,random_aggressive,0.3,0.20666666666666667,0.05053016223541351,0.45017231151397236,0.3063174185350964,0.21744446922194555,0.7933333333333333,0.0,0.49999999999999994,0.0,0.0,0.0,0.49999999999999994
3,1236,84,soft,stagnation_risk,exact_shapley_wo_simulation,64,298.0,298.0,safety_signal,Senal de seguridad,1.2499999999999998,random_reinjection,random_aggressive,0.3,0.72,0.9002495108803149,0.7277709426002089,0.4009020234220054,0.1511511198812576,0.28,0.0,0.0,-0.25,1.2499999999999998,0.25,-1.2500000000000002
3,1236,181,soft,stagnation_risk,exact_shapley_wo_simulation,64,280.0,276.0,safety_signal,Senal de seguridad,6.333333333333331,random_reinjection,random_aggressive,0.3,0.3966666666666666,0.26243837851237506,0.6036487058007087,0.7023870547121469,0.09552470693524175,0.6033333333333334,0.0,5.499999999999999,0.0,6.333333333333331,-15.666666666666659,-0.16666666666666666
3,1236,218,soft,stagnation_risk,exact_shapley_wo_simulation,64,294.0,298.0,iteration,Iteracion normalizada,3.0000000000000018,random_reinjection,random_aggressive,0.3,0.2733333333333333,0.09392149601927113,0.50083609527499,0.21062851001167482,0.2189063147534164,0.7266666666666667,0.0,0.9999999999999999,0.0,0.0,0.0,3.0000000000000018
4,1237,40,soft,stagnation_risk,exact_shapley_wo_simulation,64,298.0,298.0,diversity,Diversidad poblacional,4.0,random_reinjection,random_aggressive,0.3,0.8666666666666667,0.975075573352886,0.5380470201654407,0.012810276632082673,0.0024423165819040856,0.13333333333333333,0.0,-3.9999999999999996,0.0,0.0,4.0,0.0
4,1237,76,soft,stagnation_risk,exact_shapley_wo_simulation,64,298.0,298.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.7466666666666666,0.921771740548216,0.4786107839784847,0.17463904473311676,0.199597562066708,0.25333333333333335,0.0,0.0,0.0,0.0,0.0,0.0
4,1237,112,soft,stagnation_risk,exact_shapley_wo_simulation,64,298.0,298.0,danger_signal,Senal de peligro,0.3333333333333333,random_reinjection,random_aggressive,0.3,0.6266666666666667,0.7801716022593175,0.7638918031498536,0.28158007834154675,0.2444396102615667,0.37333333333333335,0.0,-0.16666666666666666,0.3333333333333333,0.0,0.0,-0.16666666666666666
4,1237,148,soft,stagnation_risk,exact_shapley_wo_simulation,64,298.0,298.0,beta,Coef. sigmoide (beta),0.5,random_reinjection,random_aggressive,0.3,0.5066666666666666,0.5166604965694115,0.3838256737984654,0.016988197638216573,0.24206578451028896,0.49333333333333335,0.0,0.5,0.0,0.0,0.0,-0.49999999999999994
4,1237,240,soft,stagnation_risk,exact_shapley_wo_simulation,64,296.0,279.0,diversity,Diversidad poblacional,-16.999999999999996,random_reinjection,random_aggressive,0.3,0.19999999999999996,0.047425873177566635,0.48346974671671983,0.4332905936113606,0.050200318440336025,0.8,0.0,0.0,0.0,0.0,-16.999999999999996,0.0
5,1238,65,soft,stagnation_risk,exact_shapley_wo_simulation,64,298.0,298.0,danger_signal,Senal de peligro,1.0,random_reinjection,random,0.3,0.7833333333333333,0.9444507398423883,0.8064506352306828,0.2874418437648324,0.25662532690156753,0.21666666666666667,0.0,0.0,1.0,0.0,0.0,-0.9999999999999999
5,1238,101,soft,stagnation_risk,exact_shapley_wo_simulation,64,297.0,298.0,beta,Coef. sigmoide (beta),0.6666666666666666,random_reinjection,random_aggressive,0.3,0.6633333333333333,0.8366257604866205,0.606023243406496,0.7071620107446824,0.2386790930831507,0.33666666666666667,0.0,0.6666666666666666,0.0,-0.33333333333333326,0.0,0.6666666666666666
5,1238,137,soft,stagnation_risk,exact_shapley_wo_simulation,64,297.0,298.0,danger_signal,Senal de peligro,1.3333333333333333,random_reinjection,random_aggressive,0.3,0.5433333333333333,0.6066693561082115,0.33373900792548494,0.39363872863910077,0.24535952032659633,0.45666666666666667,0.0,0.3333333333333333,1.3333333333333333,0.0,0.0,-0.6666666666666666
5,1238,187,soft,stagnation_risk,exact_shapley_wo_simulation,64,294.0,294.0,safety_signal,Senal de seguridad,1.1666666666666667,random_reinjection,random_aggressive,0.3,0.3766666666666667,0.22559854698572146,0.39502164613257784,0.5357547623967269,0.007413570802570028,0.6233333333333333,0.0,1.0,0.0,1.1666666666666667,-1.8333333333333335,-0.3333333333333333
5,1238,224,soft,stagnation_risk,exact_shapley_wo_simulation,64,297.0,298.0,iteration,Iteracion normalizada,0.5,random_reinjection,random_aggressive,0.3,0.2533333333333333,0.07822825945178391,0.41038447928491684,0.2829388342812126,0.2293239973573612,0.7466666666666667,0.0,0.49999999999999994,0.0,0.0,0.0,0.5
6,1239,40,soft,stagnation_risk,exact_shapley_wo_simulation,64,298.0,298.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.8666666666666667,0.975075573352886,0.8834278884509097,0.4834140321023014,0.24490277910089328,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
6,1239,76,soft,stagnation_risk,exact_shapley_wo_simulation,64,298.0,298.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random,0.3,0.7466666666666666,0.921771740548216,0.4754373749103684,0.4870741569950733,0.26775712343134556,0.25333333333333335,0.0,0.0,0.0,0.0,0.0,0.0
6,1239,121,soft,stagnation_risk,exact_shapley_wo_simulation,64,298.0,298.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.5966666666666667,0.7244545954248021,0.48414237004435756,0.1820191432477557,0.2433729170858501,0.4033333333333333,0.0,0.0,0.0,0.0,0.0,0.0
