run_id,seed,algorithm,controller_profile,uses_base_comparison,instance,n_hubs,n_clients,agents,iterations,best_fitness,gap_to_exact_optimum,exact_optimum,best_assignment,interventions,runtime_seconds,curve_path
1,1234,WO_base_tmlap,none,False,3.instancia_dura_8h_24c,8,24,30,300,276.0,,,0 2 3 2 1 1 3 4 0 3 4 4 6 0 2 1 3 6 2 6 1 0 4 6,0,8.056007399994996,tmlap_compare_dura\curves\base_convergence_run1.csv
2,1235,WO_base_tmlap,none,False,3.instancia_dura_8h_24c,8,24,30,300,277.0,,,0 0 3 1 1 1 2 1 0 2 4 4 3 2 2 6 3 6 0 3 4 6 4 6,0,8.370754000003217,tmlap_compare_dura\curves\base_convergence_run2.csv
3,1236,WO_base_tmlap,none,False,3.instancia_dura_8h_24c,8,24,30,300,275.0,,,0 0 3 6 1 1 3 4 0 2 4 4 0 1 2 6 3 2 2 3 1 6 4 6,0,10.056499600003008,tmlap_compare_dura\curves\base_convergence_run3.csv
4,1237,WO_base_tmlap,none,False,3.instancia_dura_8h_24c,8,24,30,300,284.0,,,0 1 3 6 1 1 2 1 0 2 4 4 0 3 2 6 3 2 4 6 3 0 4 6,0,10.90048549999483,tmlap_compare_dura\curves\base_convergence_run4.csv
5,1238,WO_base_tmlap,none,False,3.instancia_dura_8h_24c,8,24,30,300,278.0,,,0 0 3 1 1 1 2 4 0 2 4 2 3 1 2 6 3 6 6 3 4 0 4 6,0,9.24546449999616,tmlap_compare_dura\curves\base_convergence_run5.csv
6,1239,WO_base_tmlap,none,False,3.instancia_dura_8h_24c,8,24,30,300,277.0,,,0 0 3 6 1 1 2 1 0 2 4 1 3 0 4 6 3 2 2 3 4 6 4 6,0,9.47248060000129,tmlap_compare_dura\curves\base_convergence_run6.csv
7,1240,WO_base_tmlap,none,False,3.instancia_dura_8h_24c,8,24,30,300,277.0,,,0 0 3 2 1 1 2 1 0 2 4 4 3 1 2 6 3 6 6 3 4 0 4 6,0,8.413678600001731,tmlap_compare_dura\curves\base_convergence_run7.csv
8,1241,WO_base_tmlap,none,False,3.instancia_dura_8h_24c,8,24,30,300,275.0,,,3 2 3 1 1 1 2 1 0 2 4 4 0 0 2 6 3 6 6 3 4 0 4 6,0,9.538965799991274,tmlap_compare_dura\curves\base_convergence_run8.csv
9,1242,WO_base_tmlap,none,False,3.instancia_dura_8h_24c,8,24,30,300,279.0,,,0 4 3 1 1 1 2 1 3 2 4 4 0 0 2 6 3 6 6 3 2 0 4 6,0,9.954409499987378,tmlap_compare_dura\curves\base_convergence_run9.csv
10,1243,WO_base_tmlap,none,False,3.instancia_dura_8h_24c,8,24,30,300,277.0,,,0 2 3 1 1 1 2 4 0 2 4 1 0 3 2 6 3 6 6 3 4 0 4 6,0,10.155094999994617,tmlap_compare_dura\curves\base_convergence_run10.csv
11,1244,WO_base_tmlap,none,False,3.instancia_dura_8h_24c,8,24,30,300,277.0,,,0 0 3 6 1 1 2 4 0 2 4 1 3 0 2 6 3 2 4 3 1 6 4 6,0,12.340110000004643,tmlap_compare_dura\curves\base_convergence_run11.csv
12,1245,WO_base_tmlap,none,False,3.instancia_dura_8h_24c,8,24,30,300,273.0,,,3 0 3 1 1 1 2 4 0 2 4 1 6 0 2 6 3 6 2 3 4 0 4 6,0,10.070552499993937,tmlap_compare_dura\curves\base_convergence_run12.csv
13,1246,WO_base_tmlap,none,False,3.instancia_dura_8h_24c,8,24,30,300,278.0,,,0 0 3 1 1 0 2 4 0 2 4 1 3 1 2 6 3 2 6 3 4 6 4 6,0,9.131963599997107,tmlap_compare_dura\curves\base_convergence_run13.csv
14,1247,WO_base_tmlap,none,False,3.instancia_dura_8h_24c,8,24,30,300,281.0,,,3 0 3 2 1 1 2 3 0 2 4 1 0 1 2 6 3 6 4 6 4 0 4 6,0,8.192449099995429,tmlap_compare_dura\curves\base_convergence_run14.csv
15,1248,WO_base_tmlap,none,False,3.instancia_dura_8h_24c,8,24,30,300,278.0,,,0 0 3 3 1 6 3 4 0 2 4 1 6 2 2 1 3 2 6 4 1 0 4 6,0,9.967430999997305,tmlap_compare_dura\curves\base_convergence_run15.csv
16,1249,WO_base_tmlap,none,False,3.instancia_dura_8h_24c,8,24,30,300,292.0,,,0 0 3 1 1 1 2 4 0 2 4 4 6 0 2 6 3 2 7 3 1 7 4 7,0,11.06769309999072,tmlap_compare_dura\curves\base_convergence_run16.csv
17,1250,WO_base_tmlap,none,False,3.instancia_dura_8h_24c,8,24,30,300,277.0,,,0 0 3 1 1 1 2 4 0 2 4 4 0 3 2 6 3 6 2 3 1 6 4 6,0,8.210843199994997,tmlap_compare_dura\curves\base_convergence_run17.csv
18,1251,WO_base_tmlap,none,False,3.instancia_dura_8h_24c,8,24,30,300,294.0,,,0 2 3 1 1 1 2 4 3 2 4 4 0 0 2 6 3 7 7 7 1 0 4 6,0,8.845766900005401,tmlap_compare_dura\curves\base_convergence_run18.csv
