iteration,best_fitness
0,152.0
1,152.0
2,152.0
3,152.0
4,152.0
5,152.0
6,152.0
7,152.0
8,152.0
9,152.0
10,152.0
11,152.0
12,152.0
13,152.0
14,152.0
15,152.0
16,152.0
17,152.0
18,152.0
19,152.0
20,152.0
21,151.0
22,151.0
23,151.0
24,151.0
25,151.0
26,151.0
27,151.0
28,151.0
29,151.0
30,151.0
31,151.0
32,151.0
33,151.0
34,151.0
35,151.0
36,151.0
37,151.0
38,151.0
39,151.0
40,151.0
41,151.0
42,151.0
43,151.0
44,151.0
45,151.0
46,151.0
47,151.0
48,151.0
49,151.0
50,151.0
51,151.0
52,151.0
53,151.0
54,151.0
55,151.0
56,151.0
57,151.0
58,151.0
59,151.0
60,151.0
61,151.0
62,151.0
63,151.0
64,151.0
65,151.0
66,151.0
67,151.0
68,151.0
69,151.0
70,151.0
71,151.0
72,151.0
73,151.0
74,151.0
75,151.0
76,151.0
77,151.0
78,151.0
79,151.0
80,151.0
81,151.0
82,151.0
83,151.0
84,151.0
85,151.0
86,151.0
87,151.0
88,151.0
89,151.0
90,151.0
91,151.0
92,151.0
93,151.0
94,151.0
95,151.0
96,151.0
97,151.0
98,151.0
99,151.0
100,151.0
101,151.0
102,151.0
103,151.0
104,151.0
105,151.0
106,151.0
107,151.0
108,151.0
109,151.0
110,151.0
111,151.0
112,151.0
113,151.0
114,151.0
115,151.0
116,151.0
117,151.0
118,151.0
119,151.0
120,151.0
121,151.0
122,151.0
123,151.0
124,151.0
125,151.0
126,151.0
127,151.0
128,151.0
129,151.0
130,151.0
131,151.0
132,151.0
133,151.0
134,151.0
135,151.0
136,151.0
137,151.0
138,151.0
139,151.0
140,151.0
141,151.0
142,151.0
143,151.0
144,151.0
145,151.0
146,151.0
147,151.0
148,151.0
149,151.0
150,151.0
151,151.0
152,151.0
153,151.0
154,151.0
155,151.0
156,151.0
157,151.0
158,151.0
159,151.0
160,151.0
161,151.0
162,151.0
163,151.0
164,151.0
165,151.0
166,151.0
167,151.0
168,151.0
169,151.0
170,151.0
171,151.0
172,151.0
173,151.0
174,151.0
175,151.0
176,151.0
177,151.0
178,151.0
179,151.0
180,151.0
181,151.0
182,151.0
183,151.0
184,151.0
185,151.0
186,151.0
187,151.0
188,151.0
189,151.0
190,151.0
191,151.0
192,151.0
193,151.0
194,151.0
195,151.0
196,151.0
197,151.0
198,151.0
199,151.0
200,151.0
201,151.0
202,151.0
203,151.0
204,151.0
205,151.0
206,151.0
207,151.0
208,151.0
209,151.0
210,151.0
211,151.0
212,151.0
213,151.0
214,151.0
215,151.0
216,151.0
217,151.0
218,151.0
219,151.0
220,151.0
221,151.0
222,151.0
223,151.0
224,151.0
225,151.0
226,151.0
227,151.0
228,151.0
229,151.0
230,151.0
231,151.0
232,151.0
233,151.0
234,151.0
235,151.0
236,151.0
237,151.0
238,151.0
239,151.0
240,151.0
241,151.0
242,151.0
243,151.0
244,151.0
245,151.0
246,151.0
247,151.0
248,151.0
249,151.0
250,151.0
251,151.0
252,151.0
253,151.0
254,151.0
255,151.0
256,151.0
257,151.0
258,151.0
259,151.0
260,151.0
261,151.0
262,151.0
263,151.0
264,151.0
265,151.0
266,151.0
267,151.0
268,151.0
269,151.0
270,151.0
271,151.0
272,151.0
273,151.0
274,151.0
275,151.0
276,151.0
277,151.0
278,151.0
279,151.0
280,151.0
281,151.0
282,151.0
283,151.0
284,151.0
285,151.0
286,151.0
287,151.0
288,151.0
289,151.0
290,151.0
291,151.0
292,151.0
293,151.0
294,151.0
295,151.0
296,151.0
297,151.0
298,151.0
299,151.0
