iteration,best_fitness
0,152.0
1,152.0
2,152.0
3,152.0
4,152.0
5,152.0
6,152.0
7,152.0
8,152.0
9,152.0
10,152.0
11,152.0
12,152.0
13,152.0
14,152.0
15,152.0
16,152.0
17,152.0
18,152.0
19,152.0
20,152.0
21,152.0
22,152.0
23,152.0
24,152.0
25,152.0
26,152.0
27,152.0
28,152.0
29,152.0
30,152.0
31,152.0
32,152.0
33,152.0
34,152.0
35,152.0
36,152.0
37,152.0
38,152.0
39,152.0
40,152.0
41,152.0
42,152.0
43,152.0
44,152.0
45,152.0
46,152.0
47,152.0
48,152.0
49,152.0
50,152.0
51,152.0
52,152.0
53,152.0
54,152.0
55,152.0
56,152.0
57,152.0
58,152.0
59,152.0
60,152.0
61,152.0
62,152.0
63,152.0
64,152.0
65,152.0
66,152.0
67,152.0
68,152.0
69,152.0
70,152.0
71,152.0
72,152.0
73,152.0
74,152.0
75,152.0
76,152.0
77,152.0
78,152.0
79,152.0
80,152.0
81,152.0
82,152.0
83,152.0
84,152.0
85,152.0
86,152.0
87,152.0
88,152.0
89,152.0
90,152.0
91,152.0
92,152.0
93,152.0
94,152.0
95,152.0
96,152.0
97,152.0
98,152.0
99,152.0
100,152.0
101,152.0
102,152.0
103,152.0
104,152.0
105,152.0
106,152.0
107,152.0
108,152.0
109,152.0
110,152.0
111,152.0
112,152.0
113,152.0
114,152.0
115,152.0
116,152.0
117,152.0
118,152.0
119,152.0
120,152.0
121,152.0
122,152.0
123,152.0
124,152.0
125,152.0
126,152.0
127,152.0
128,152.0
129,152.0
130,152.0
131,152.0
132,152.0
133,152.0
134,152.0
135,152.0
136,152.0
137,152.0
138,152.0
139,152.0
140,152.0
141,152.0
142,152.0
143,152.0
144,152.0
145,152.0
146,152.0
147,152.0
148,152.0
149,152.0
150,152.0
151,152.0
152,152.0
153,152.0
154,152.0
155,152.0
156,152.0
157,152.0
158,152.0
159,152.0
160,152.0
161,152.0
162,152.0
163,152.0
164,152.0
165,152.0
166,152.0
167,152.0
168,152.0
169,152.0
170,152.0
171,152.0
172,152.0
173,152.0
174,152.0
175,152.0
176,152.0
177,152.0
178,152.0
179,152.0
180,152.0
181,152.0
182,152.0
183,152.0
184,152.0
185,152.0
186,152.0
187,152.0
188,152.0
189,152.0
190,152.0
191,152.0
192,152.0
193,152.0
194,152.0
195,152.0
196,152.0
197,152.0
198,152.0
199,152.0
200,152.0
201,152.0
202,152.0
203,152.0
204,152.0
205,152.0
206,152.0
207,152.0
208,152.0
209,152.0
210,152.0
211,152.0
212,152.0
213,152.0
214,152.0
215,152.0
216,152.0
217,152.0
218,152.0
219,152.0
220,152.0
221,152.0
222,152.0
223,152.0
224,152.0
225,152.0
226,152.0
227,152.0
228,152.0
229,152.0
230,152.0
231,152.0
232,152.0
233,152.0
234,152.0
235,152.0
236,152.0
237,152.0
238,152.0
239,152.0
240,152.0
241,152.0
242,152.0
243,152.0
244,152.0
245,152.0
246,152.0
247,152.0
248,152.0
249,152.0
250,152.0
251,152.0
252,152.0
253,152.0
254,152.0
255,152.0
256,152.0
257,152.0
258,152.0
259,152.0
260,152.0
261,152.0
262,152.0
263,152.0
264,152.0
265,152.0
266,152.0
267,152.0
268,152.0
269,152.0
270,152.0
271,152.0
272,152.0
273,152.0
274,152.0
275,152.0
276,152.0
277,152.0
278,152.0
279,152.0
280,152.0
281,152.0
282,152.0
283,152.0
284,152.0
285,152.0
286,152.0
287,152.0
288,152.0
289,152.0
290,152.0
291,152.0
292,152.0
293,152.0
294,152.0
295,152.0
296,152.0
297,152.0
298,152.0
299,152.0
