run_id,seed,algorithm,controller_profile,uses_base_comparison,instance,n_hubs,n_clients,agents,iterations,best_fitness,gap_to_exact_optimum,exact_optimum,best_assignment,interventions,runtime_seconds,curve_path
1,1234,WO_base_tmlap,none,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,0,1.8793232000025455,tmlap_compare_mediana\curves\base_convergence_run1.csv
2,1235,WO_base_tmlap,none,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,0,4.863496699996176,tmlap_compare_mediana\curves\base_convergence_run2.csv
3,1236,WO_base_tmlap,none,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,0,4.408869599996251,tmlap_compare_mediana\curves\base_convergence_run3.csv
4,1237,WO_base_tmlap,none,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,0,5.186789500003215,tmlap_compare_mediana\curves\base_convergence_run4.csv
5,1238,WO_base_tmlap,none,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,0,4.844912500004284,tmlap_compare_mediana\curves\base_convergence_run5.csv
6,1239,WO_base_tmlap,none,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,0,4.786844300004304,tmlap_compare_mediana\curves\base_convergence_run6.csv
7,1240,WO_base_tmlap,none,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,0,4.833039400007692,tmlap_compare_mediana\curves\base_convergence_run7.csv
8,1241,WO_base_tmlap,none,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,0,5.18175259999407,tmlap_compare_mediana\curves\base_convergence_run8.csv
9,1242,WO_base_tmlap,none,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,0,4.410186699999031,tmlap_compare_mediana\curves\base_convergence_run9.csv
10,1243,WO_base_tmlap,none,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,0,5.455299799999921,tmlap_compare_mediana\curves\base_convergence_run10.csv
11,1244,WO_base_tmlap,none,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,0,5.06848319999699,tmlap_compare_mediana\curves\base_convergence_run11.csv
12,1245,WO_base_tmlap,none,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,0,4.957583299998078,tmlap_compare_mediana\curves\base_convergence_run12.csv
13,1246,WO_base_tmlap,none,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,0,4.038753899993026,tmlap_compare_mediana\curves\base_convergence_run13.csv
14,1247,WO_base_tmlap,none,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,0,5.22409869999683,tmlap_compare_mediana\curves\base_convergence_run14.csv
15,1248,WO_base_tmlap,none,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,0,4.9416067999991355,tmlap_compare_mediana\curves\base_convergence_run15.csv
16,1249,WO_base_tmlap,none,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,0,9.448923400006606,tmlap_compare_mediana\curves\base_convergence_run16.csv
17,1250,WO_base_tmlap,none,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,0,5.44723299999896,tmlap_compare_mediana\curves\base_convergence_run17.csv
18,1251,WO_base_tmlap,none,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,0,6.033347899996443,tmlap_compare_mediana\curves\base_convergence_run18.csv
19,1252,WO_base_tmlap,none,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,0,5.1654220999917015,tmlap_compare_mediana\curves\base_convergence_run19.csv
20,1253,WO_base_tmlap,none,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,0,7.845480199990561,tmlap_compare_mediana\curves\base_convergence_run20.csv
21,1254,WO_base_tmlap,none,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,0,3.867181499997969,tmlap_compare_mediana\curves\base_convergence_run21.csv
22,1255,WO_base_tmlap,none,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,0,4.8813189999928,tmlap_compare_mediana\curves\base_convergence_run22.csv
23,1256,WO_base_tmlap,none,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,0,3.4986719000007724,tmlap_compare_mediana\curves\base_convergence_run23.csv
24,1257,WO_base_tmlap,none,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,0,5.131190300002345,tmlap_compare_mediana\curves\base_convergence_run24.csv
25,1258,WO_base_tmlap,none,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,0,5.292738799995277,tmlap_compare_mediana\curves\base_convergence_run25.csv
26,1259,WO_base_tmlap,none,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,0,4.361687099997653,tmlap_compare_mediana\curves\base_convergence_run26.csv
27,1260,WO_base_tmlap,none,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,0,4.742578500008676,tmlap_compare_mediana\curves\base_convergence_run27.csv
28,1261,WO_base_tmlap,none,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,0,4.635867499993765,tmlap_compare_mediana\curves\base_convergence_run28.csv
29,1262,WO_base_tmlap,none,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,0,3.3127938999969047,tmlap_compare_mediana\curves\base_convergence_run29.csv
30,1263,WO_base_tmlap,none,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,0,5.57274079999479,tmlap_compare_mediana\curves\base_convergence_run30.csv
1,1234,WO_tmlap_online_shap,soft,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,6,40.829849599991576,tmlap_compare_mediana\curves\shap_convergence_run1.csv
2,1235,WO_tmlap_online_shap,soft,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,6,37.38376280000375,tmlap_compare_mediana\curves\shap_convergence_run2.csv
3,1236,WO_tmlap_online_shap,soft,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,6,39.38502010000229,tmlap_compare_mediana\curves\shap_convergence_run3.csv
4,1237,WO_tmlap_online_shap,soft,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,6,39.86975580001308,tmlap_compare_mediana\curves\shap_convergence_run4.csv
5,1238,WO_tmlap_online_shap,soft,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,6,40.7030567000038,tmlap_compare_mediana\curves\shap_convergence_run5.csv
6,1239,WO_tmlap_online_shap,soft,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,6,39.50678529999277,tmlap_compare_mediana\curves\shap_convergence_run6.csv
7,1240,WO_tmlap_online_shap,soft,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,6,37.80224749998888,tmlap_compare_mediana\curves\shap_convergence_run7.csv
8,1241,WO_tmlap_online_shap,soft,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,6,38.549354799994035,tmlap_compare_mediana\curves\shap_convergence_run8.csv
9,1242,WO_tmlap_online_shap,soft,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,6,41.50631890000659,tmlap_compare_mediana\curves\shap_convergence_run9.csv
10,1243,WO_tmlap_online_shap,soft,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,6,40.140594299999066,tmlap_compare_mediana\curves\shap_convergence_run10.csv
11,1244,WO_tmlap_online_shap,soft,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,6,38.408312499988824,tmlap_compare_mediana\curves\shap_convergence_run11.csv
12,1245,WO_tmlap_online_shap,soft,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,6,39.804831799992826,tmlap_compare_mediana\curves\shap_convergence_run12.csv
13,1246,WO_tmlap_online_shap,soft,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,6,40.73982099999557,tmlap_compare_mediana\curves\shap_convergence_run13.csv
14,1247,WO_tmlap_online_shap,soft,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,6,39.75207909999881,tmlap_compare_mediana\curves\shap_convergence_run14.csv
15,1248,WO_tmlap_online_shap,soft,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,6,38.72538469999563,tmlap_compare_mediana\curves\shap_convergence_run15.csv
16,1249,WO_tmlap_online_shap,soft,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,6,76.64815680000174,tmlap_compare_mediana\curves\shap_convergence_run16.csv
17,1250,WO_tmlap_online_shap,soft,False,2.instancia_mediana_5h_12c,5,12,30,300,152.0,1.0,151.0,0 0 2 1 1 1 2 4 0 2 4 4,6,43.11881889999495,tmlap_compare_mediana\curves\shap_convergence_run17.csv
18,1251,WO_tmlap_online_shap,soft,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,6,40.46732460000203,tmlap_compare_mediana\curves\shap_convergence_run18.csv
19,1252,WO_tmlap_online_shap,soft,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,6,50.73018530000991,tmlap_compare_mediana\curves\shap_convergence_run19.csv
20,1253,WO_tmlap_online_shap,soft,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,6,39.31773670000257,tmlap_compare_mediana\curves\shap_convergence_run20.csv
21,1254,WO_tmlap_online_shap,soft,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,6,37.96023680000508,tmlap_compare_mediana\curves\shap_convergence_run21.csv
22,1255,WO_tmlap_online_shap,soft,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,6,34.548436299999594,tmlap_compare_mediana\curves\shap_convergence_run22.csv
23,1256,WO_tmlap_online_shap,soft,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,6,39.51980520000507,tmlap_compare_mediana\curves\shap_convergence_run23.csv
24,1257,WO_tmlap_online_shap,soft,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,6,41.45529010001337,tmlap_compare_mediana\curves\shap_convergence_run24.csv
25,1258,WO_tmlap_online_shap,soft,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,6,43.8630351999891,tmlap_compare_mediana\curves\shap_convergence_run25.csv
26,1259,WO_tmlap_online_shap,soft,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,6,38.681389699995634,tmlap_compare_mediana\curves\shap_convergence_run26.csv
27,1260,WO_tmlap_online_shap,soft,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,6,36.0448158000072,tmlap_compare_mediana\curves\shap_convergence_run27.csv
28,1261,WO_tmlap_online_shap,soft,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,6,35.25681920000352,tmlap_compare_mediana\curves\shap_convergence_run28.csv
29,1262,WO_tmlap_online_shap,soft,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,6,50.86590530000103,tmlap_compare_mediana\curves\shap_convergence_run29.csv
30,1263,WO_tmlap_online_shap,soft,False,2.instancia_mediana_5h_12c,5,12,30,300,151.0,0.0,151.0,0 0 1 2 1 1 2 4 0 2 4 4,6,60.65481719998934,tmlap_compare_mediana\curves\shap_convergence_run30.csv
