iteration,best_fitness
0,89.0
1,89.0
2,89.0
3,89.0
4,89.0
5,89.0
6,89.0
7,89.0
8,89.0
9,89.0
10,89.0
11,89.0
12,89.0
13,89.0
14,89.0
15,89.0
16,89.0
17,89.0
18,89.0
19,89.0
20,89.0
21,89.0
22,89.0
23,89.0
24,89.0
25,89.0
26,89.0
27,89.0
28,89.0
29,89.0
30,89.0
31,89.0
32,89.0
33,89.0
34,89.0
35,89.0
36,89.0
37,89.0
38,89.0
39,89.0
40,89.0
41,89.0
42,89.0
43,89.0
44,89.0
45,89.0
46,89.0
47,89.0
48,89.0
49,89.0
50,89.0
51,89.0
52,89.0
53,89.0
54,89.0
55,89.0
56,89.0
57,89.0
58,89.0
59,89.0
60,89.0
61,89.0
62,89.0
63,89.0
64,89.0
65,89.0
66,89.0
67,89.0
68,89.0
69,89.0
70,89.0
71,89.0
72,89.0
73,89.0
74,89.0
75,89.0
76,89.0
77,89.0
78,89.0
79,89.0
80,89.0
81,89.0
82,89.0
83,89.0
84,89.0
85,89.0
86,89.0
87,89.0
88,89.0
89,89.0
90,89.0
91,89.0
92,89.0
93,89.0
94,89.0
95,89.0
96,89.0
97,89.0
98,89.0
99,89.0
100,89.0
101,89.0
102,89.0
103,89.0
104,89.0
105,89.0
106,89.0
107,89.0
108,89.0
109,89.0
110,89.0
111,89.0
112,89.0
113,89.0
114,89.0
115,89.0
116,89.0
117,89.0
118,89.0
119,89.0
120,89.0
121,89.0
122,89.0
123,89.0
124,89.0
125,89.0
126,89.0
127,89.0
128,89.0
129,89.0
130,89.0
131,89.0
132,89.0
133,89.0
134,89.0
135,89.0
136,89.0
137,89.0
138,89.0
139,89.0
140,89.0
141,89.0
142,89.0
143,89.0
144,89.0
145,89.0
146,89.0
147,89.0
148,89.0
149,89.0
150,89.0
151,89.0
152,89.0
153,89.0
154,89.0
155,89.0
156,89.0
157,89.0
158,89.0
159,89.0
160,89.0
161,89.0
162,89.0
163,89.0
164,89.0
165,89.0
166,89.0
167,89.0
168,89.0
169,89.0
170,89.0
171,89.0
172,89.0
173,89.0
174,89.0
175,89.0
176,89.0
177,89.0
178,89.0
179,89.0
180,89.0
181,89.0
182,89.0
183,89.0
184,89.0
185,89.0
186,89.0
187,89.0
188,89.0
189,89.0
190,89.0
191,89.0
192,89.0
193,89.0
194,89.0
195,89.0
196,89.0
197,89.0
198,89.0
199,89.0
200,89.0
201,89.0
202,89.0
203,89.0
204,89.0
205,89.0
206,89.0
207,89.0
208,89.0
209,89.0
210,89.0
211,89.0
212,89.0
213,89.0
214,89.0
215,89.0
216,89.0
217,89.0
218,89.0
219,89.0
220,89.0
221,89.0
222,89.0
223,89.0
224,89.0
225,89.0
226,89.0
227,89.0
228,89.0
229,89.0
230,89.0
231,89.0
232,89.0
233,89.0
234,89.0
235,89.0
236,89.0
237,89.0
238,89.0
239,89.0
240,89.0
241,89.0
242,89.0
243,89.0
244,89.0
245,89.0
246,89.0
247,89.0
248,89.0
249,89.0
250,89.0
251,89.0
252,89.0
253,89.0
254,89.0
255,89.0
256,89.0
257,89.0
258,89.0
259,89.0
260,89.0
261,89.0
262,89.0
263,89.0
264,89.0
265,89.0
266,89.0
267,89.0
268,89.0
269,89.0
270,89.0
271,89.0
272,89.0
273,89.0
274,89.0
275,89.0
276,89.0
277,89.0
278,89.0
279,89.0
280,89.0
281,89.0
282,89.0
283,89.0
284,89.0
285,89.0
286,89.0
287,89.0
288,89.0
289,89.0
290,89.0
291,89.0
292,89.0
293,89.0
294,89.0
295,89.0
296,89.0
297,89.0
298,89.0
299,89.0
