run_id,seed,event_id,iteration,profile,reason,action,mode,fraction,selected_agents,n_selected_agents,improved_agents,before_best,after_best,delta_best,pre_fitness,post_iteration,post_status,post_fitness,post_delta_fitness,post_diversity,post_stagnation_length,accepted_intervention,acceptance_reason,adaptive_cooldown_until_iteration,adaptive_cooldown_reason,recent_improvement_ratio,uses_base_comparison,shap_target,shap_method,shap_predicted_stagnation_risk,shap_dominant_feature,shap_dominant_label,shap_dominant_value,alpha,beta,danger_signal,safety_signal,raw_diversity,diversity_norm,domain_scale,iteration_norm,stagnation_repeated_iterations,best_population_fitness,mean_population_fitness,worst_population_fitness,candidate_population_best,candidate_diversity,pre_diversity
1,1234,1,40,soft,curve_stagnation_detected,random_reinjection,random_aggressive,0.3,1 0 27 26 29 28 23 22 21,9,0,89.0,89.0,0.0,89.0,50,neutral,89.0,0.0,0.036080411811786076,51.0,True,preserved_best_and_increased_diversity,77.0,neutral,0.0,False,stagnation_risk,exact_shapley_wo_simulation,89.0,alpha,Coef. exploracion (alpha),0.0,0.8666666666666667,0.975075573352886,-0.35295224219021487,0.2610622919271173,0.540472649858543,0.11032351767361212,4.898979485566356,0.13333333333333333,41,89.0,89.16666666666667,92.0,89.0,0.8991729498587527,0.540472649858543
1,1234,2,77,soft,curve_stagnation_detected,random_reinjection,random_aggressive,0.3,29 28 27 20 21 14 7 6 13,9,0,89.0,89.0,0.0,89.0,87,neutral,89.0,0.0,0.6574582933384214,88.0,True,preserved_best_and_increased_diversity,114.0,neutral,0.0,False,stagnation_risk,exact_shapley_wo_simulation,89.0,alpha,Coef. exploracion (alpha),0.0,0.7433333333333334,0.919334075010081,-1.069865907860616,0.32863391549950005,0.8229914918903362,0.16799243481526696,4.898979485566356,0.25666666666666665,78,89.0,91.6,95.0,89.0,1.0167981151773915,0.8229914918903362
1,1234,3,114,soft,curve_stagnation_detected,random_reinjection,random_aggressive,0.3,29 28 27 26 25 24 23 22 21,9,0,95.0,91.0,-4.0,95.0,124,improved,89.0,6.0,0.9829878097204895,125.0,True,improved_population_best,114.0,neutral,0.0,False,stagnation_risk,exact_shapley_wo_simulation,89.0,alpha,Coef. exploracion (alpha),0.0,0.62,0.7685247834990176,0.2188315674366507,0.8322053557046367,0.03797216991854062,0.007751036727223767,4.898979485566356,0.38,115,95.0,95.0,95.0,91.0,0.7188500101958206,0.03797216991854062
1,1234,4,150,soft,curve_stagnation_detected,random_reinjection,random_aggressive,0.3,29 28 27 26 25 24 23 22 21,9,0,95.0,89.0,-6.0,95.0,160,improved,89.0,6.0,0.9514423010092586,161.0,True,improved_population_best,114.0,neutral,0.0,False,stagnation_risk,exact_shapley_wo_simulation,91.0,danger_signal,Senal de peligro,0.5,0.5,0.5,-0.9215321140265553,0.4558626139319294,0.03637124017324203,0.007424248311388318,4.898979485566356,0.5,151,95.0,95.0,95.0,89.0,0.73562486928456,0.03637124017324203
1,1234,5,186,soft,curve_stagnation_detected,random_reinjection,random_aggressive,0.3,1 27 6 19 28 26 24 23 21,9,0,89.0,89.0,0.0,89.0,196,neutral,89.0,0.0,0.9020615337199225,197.0,True,preserved_best_and_increased_diversity,223.0,neutral,0.0,False,stagnation_risk,exact_shapley_wo_simulation,89.0,alpha,Coef. exploracion (alpha),0.0,0.38,0.23147521650098246,0.3750138812902054,0.81597840641475,0.58236127877203,0.11887399824551521,4.898979485566356,0.62,187,89.0,89.5,95.0,89.0,0.8847588447575483,0.58236127877203
1,1234,6,223,soft,curve_stagnation_detected,random_reinjection,random_aggressive,0.3,29 28 27 26 25 24 23 22 21,9,0,89.0,89.0,0.0,89.0,233,neutral,89.0,0.0,0.813845680111846,234.0,True,preserved_best_and_increased_diversity,260.0,neutral,0.0,False,stagnation_risk,exact_shapley_wo_simulation,89.0,alpha,Coef. exploracion (alpha),0.0,0.2566666666666667,0.08066592498991898,0.44271841396718165,0.033689659649008386,0.5605096497869138,0.11441355315700306,4.898979485566356,0.7433333333333333,224,89.0,89.2,95.0,89.0,0.8319596679569548,0.5605096497869138
2,1235,1,40,soft,curve_stagnation_detected,random_reinjection,random_aggressive,0.3,21 1 19 26 12 27 24 25 22,9,0,89.0,89.0,0.0,89.0,50,neutral,89.0,0.0,0.03760070306198135,51.0,True,preserved_best_and_increased_diversity,77.0,neutral,0.0,False,stagnation_risk,exact_shapley_wo_simulation,89.0,alpha,Coef. exploracion (alpha),0.0,0.8666666666666667,0.975075573352886,0.39429527619590343,0.6965843124697232,0.31213950804384943,0.06371521027256638,4.898979485566356,0.13333333333333333,41,89.0,89.5,95.0,89.0,0.7330482524026948,0.31213950804384943
2,1235,2,77,soft,curve_stagnation_detected,random_reinjection,random_aggressive,0.3,26 19 28 27 20 29 21 6 13,9,0,89.0,89.0,0.0,89.0,87,neutral,89.0,0.0,1.0506337246578137,88.0,True,preserved_best_and_increased_diversity,114.0,neutral,0.0,False,stagnation_risk,exact_shapley_wo_simulation,89.0,alpha,Coef. exploracion (alpha),0.0,0.7433333333333334,0.919334075010081,0.8577016536207617,0.589348279219283,1.017137702897236,0.20762236418706861,4.898979485566356,0.25666666666666665,78,89.0,93.06666666666666,97.0,89.0,1.1009790762719927,1.017137702897236
2,1235,3,114,soft,curve_stagnation_detected,random_reinjection,random_aggressive,0.3,28 27 20 6 0 13 7 24 10,9,0,89.0,89.0,0.0,89.0,124,neutral,89.0,0.0,1.036054388620278,125.0,True,preserved_best_and_increased_diversity,151.0,neutral,0.0,False,stagnation_risk,exact_shapley_wo_simulation,89.0,alpha,Coef. exploracion (alpha),0.0,0.62,0.7685247834990176,-0.47349001678015507,0.8061778864142953,0.6988053393480638,0.14264304257793337,4.898979485566356,0.38,115,89.0,90.9,95.0,89.0,0.757726783999752,0.6988053393480638
2,1235,4,151,soft,curve_stagnation_detected,random_reinjection,random_aggressive,0.3,7 28 8 12 27 29 23 22 21,9,0,89.0,89.0,0.0,89.0,161,neutral,89.0,0.0,0.10239328471643301,162.0,True,preserved_best_and_increased_diversity,188.0,neutral,0.0,False,stagnation_risk,exact_shapley_wo_simulation,89.0,alpha,Coef. exploracion (alpha),0.0,0.4966666666666667,0.49166743818588066,0.49432663558953255,0.1640377490457139,0.28575197679910075,0.058328878012451166,4.898979485566356,0.5033333333333333,152,89.0,89.46666666666667,95.0,89.0,0.720036809340078,0.28575197679910075
