run_id,seed,iteration,profile,target,method,n_coalitions,expected_value,predicted_value,dominant_feature,dominant_label,dominant_value,action,mode,fraction,feature_alpha,feature_beta,feature_danger_signal,feature_safety_signal,feature_diversity,feature_iteration,shap_alpha,shap_beta,shap_danger_signal,shap_safety_signal,shap_diversity,shap_iteration
1,1234,40,soft,stagnation_risk,exact_shapley_wo_simulation,64,89.0,89.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.8666666666666667,0.975075573352886,0.41176193945244627,0.2610622919271173,0.11032351767361212,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
1,1234,77,soft,stagnation_risk,exact_shapley_wo_simulation,64,89.0,89.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.7433333333333334,0.919334075010081,0.23253352303484598,0.32863391549950005,0.16799243481526696,0.25666666666666665,0.0,0.0,0.0,0.0,0.0,0.0
1,1234,114,soft,stagnation_risk,exact_shapley_wo_simulation,64,89.0,89.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.62,0.7685247834990176,0.5547078918591627,0.8322053557046367,0.007751036727223767,0.38,0.0,0.0,0.0,0.0,0.0,0.0
1,1234,150,soft,stagnation_risk,exact_shapley_wo_simulation,64,89.0,91.0,danger_signal,Senal de peligro,0.5,random_reinjection,random_aggressive,0.3,0.5,0.5,0.26961697149336117,0.4558626139319294,0.007424248311388318,0.5,0.0,0.0,0.5,0.5,0.5,0.5
1,1234,186,soft,stagnation_risk,exact_shapley_wo_simulation,64,89.0,89.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.38,0.23147521650098246,0.5937534703225513,0.81597840641475,0.11887399824551521,0.62,0.0,0.0,0.0,0.0,0.0,0.0
1,1234,223,soft,stagnation_risk,exact_shapley_wo_simulation,64,89.0,89.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.2566666666666667,0.08066592498991898,0.6106796034917954,0.033689659649008386,0.11441355315700306,0.7433333333333333,0.0,0.0,0.0,0.0,0.0,0.0
2,1235,40,soft,stagnation_risk,exact_shapley_wo_simulation,64,89.0,89.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.8666666666666667,0.975075573352886,0.5985738190489759,0.6965843124697232,0.06371521027256638,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
2,1235,77,soft,stagnation_risk,exact_shapley_wo_simulation,64,89.0,89.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.7433333333333334,0.919334075010081,0.7144254134051904,0.589348279219283,0.20762236418706861,0.25666666666666665,0.0,0.0,0.0,0.0,0.0,0.0
2,1235,114,soft,stagnation_risk,exact_shapley_wo_simulation,64,89.0,89.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.62,0.7685247834990176,0.38162749580496125,0.8061778864142953,0.14264304257793337,0.38,0.0,0.0,0.0,0.0,0.0,0.0
2,1235,151,soft,stagnation_risk,exact_shapley_wo_simulation,64,89.0,89.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.4966666666666667,0.49166743818588066,0.6235816588973832,0.1640377490457139,0.058328878012451166,0.5033333333333333,0.0,0.0,0.0,0.0,0.0,0.0
2,1235,188,soft,stagnation_risk,exact_shapley_wo_simulation,64,89.0,89.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.3733333333333333,0.21982839774068252,0.445123909347568,0.6704538760150683,0.1912025630545991,0.6266666666666667,0.0,0.0,0.0,0.0,0.0,0.0
2,1235,225,soft,stagnation_risk,exact_shapley_wo_simulation,64,89.0,89.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.25,0.07585818002124345,0.40927860965114293,0.9843103546794807,0.16800250255239066,0.75,0.0,0.0,0.0,0.0,0.0,0.0
3,1236,40,soft,stagnation_risk,exact_shapley_wo_simulation,64,89.0,89.0,diversity,Diversidad poblacional,0.6666666666666666,random_reinjection,random_aggressive,0.3,0.8666666666666667,0.975075573352886,0.6515944566175362,0.8893105022800455,0.007341253188145767,0.13333333333333333,0.0,0.0,-0.3333333333333333,-0.3333333333333333,0.6666666666666666,0.0
3,1236,76,soft,stagnation_risk,exact_shapley_wo_simulation,64,89.0,89.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.7466666666666666,0.921771740548216,0.472454753970406,0.013568015765157537,0.20748376237567634,0.25333333333333335,0.0,0.0,0.0,0.0,0.0,0.0
3,1236,113,soft,stagnation_risk,exact_shapley_wo_simulation,64,89.0,89.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.6233333333333333,0.7744014530142785,0.7373918789153162,0.8622290742959559,0.18722072956402502,0.37666666666666665,0.0,0.0,0.0,0.0,0.0,0.0
3,1236,158,soft,stagnation_risk,exact_shapley_wo_simulation,64,89.0,89.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.4733333333333334,0.43372560580456077,0.2711708974327289,0.7298367525557503,0.20237835159032203,0.5266666666666666,0.0,0.0,0.0,0.0,0.0,0.0
3,1236,195,soft,stagnation_risk,exact_shapley_wo_simulation,64,89.0,89.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.35,0.18242552380635635,0.4137791640013625,0.29464574537232635,0.1609416127916133,0.65,0.0,0.0,0.0,0.0,0.0,0.0
3,1236,240,soft,stagnation_risk,exact_shapley_wo_simulation,64,89.0,89.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.19999999999999996,0.047425873177566635,0.40438986618698625,0.8077617544669395,0.09550458321000727,0.8,0.0,0.0,0.0,0.0,0.0,0.0
4,1237,40,soft,stagnation_risk,exact_shapley_wo_simulation,64,89.0,89.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.8666666666666667,0.975075573352886,0.8907799292231364,0.1344882619373986,0.13723538226999923,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
