run_id,seed,algorithm,controller_profile,uses_base_comparison,instance,n_hubs,n_clients,agents,iterations,best_fitness,gap_to_exact_optimum,exact_optimum,best_assignment,interventions,runtime_seconds,curve_path
1,1234,WO_base_tmlap,none,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 1 1 2 0,0,2.040111299997079,tmlap_compare_simple\curves\base_convergence_run1.csv
2,1235,WO_base_tmlap,none,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 1 1 2 0,0,2.513466400007019,tmlap_compare_simple\curves\base_convergence_run2.csv
3,1236,WO_base_tmlap,none,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 1 1 2 0,0,3.1793567999993684,tmlap_compare_simple\curves\base_convergence_run3.csv
4,1237,WO_base_tmlap,none,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 1 1 2 0,0,2.5991788000101224,tmlap_compare_simple\curves\base_convergence_run4.csv
5,1238,WO_base_tmlap,none,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 2 1 2 0,0,2.9327111000020523,tmlap_compare_simple\curves\base_convergence_run5.csv
6,1239,WO_base_tmlap,none,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 1 1 2 0,0,2.381383999992977,tmlap_compare_simple\curves\base_convergence_run6.csv
7,1240,WO_base_tmlap,none,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 1 1 2 0,0,3.2185482000058983,tmlap_compare_simple\curves\base_convergence_run7.csv
8,1241,WO_base_tmlap,none,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 1 1 2 0,0,3.5148632999917027,tmlap_compare_simple\curves\base_convergence_run8.csv
9,1242,WO_base_tmlap,none,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 2 1 2 0,0,3.2832313000108115,tmlap_compare_simple\curves\base_convergence_run9.csv
10,1243,WO_base_tmlap,none,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 1 1 2 0,0,3.0576041000022087,tmlap_compare_simple\curves\base_convergence_run10.csv
11,1244,WO_base_tmlap,none,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 2 1 2 0,0,2.8205448999942746,tmlap_compare_simple\curves\base_convergence_run11.csv
12,1245,WO_base_tmlap,none,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 1 1 2 0,0,4.756644100008998,tmlap_compare_simple\curves\base_convergence_run12.csv
13,1246,WO_base_tmlap,none,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 2 1 2 0,0,3.385569799997029,tmlap_compare_simple\curves\base_convergence_run13.csv
14,1247,WO_base_tmlap,none,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 1 1 2 0,0,3.788617300000624,tmlap_compare_simple\curves\base_convergence_run14.csv
15,1248,WO_base_tmlap,none,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 2 1 2 0,0,3.603674400001182,tmlap_compare_simple\curves\base_convergence_run15.csv
16,1249,WO_base_tmlap,none,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 1 1 2 0,0,2.3428414999943925,tmlap_compare_simple\curves\base_convergence_run16.csv
17,1250,WO_base_tmlap,none,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 1 1 2 0,0,3.1853113999968627,tmlap_compare_simple\curves\base_convergence_run17.csv
18,1251,WO_base_tmlap,none,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 2 1 2 0,0,3.386404999997467,tmlap_compare_simple\curves\base_convergence_run18.csv
19,1252,WO_base_tmlap,none,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 1 1 2 0,0,2.060345000005327,tmlap_compare_simple\curves\base_convergence_run19.csv
20,1253,WO_base_tmlap,none,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 1 1 2 0,0,3.0312793999910355,tmlap_compare_simple\curves\base_convergence_run20.csv
21,1254,WO_base_tmlap,none,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 1 1 2 0,0,2.43977929999528,tmlap_compare_simple\curves\base_convergence_run21.csv
22,1255,WO_base_tmlap,none,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 1 1 2 0,0,3.4887373999954434,tmlap_compare_simple\curves\base_convergence_run22.csv
23,1256,WO_base_tmlap,none,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 1 1 2 0,0,2.4262731000053464,tmlap_compare_simple\curves\base_convergence_run23.csv
24,1257,WO_base_tmlap,none,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 1 1 2 0,0,7.769761199990171,tmlap_compare_simple\curves\base_convergence_run24.csv
